   
   
sim_type_id
sim_id
tracker_id
sim_position
tracker_position
position_error
sim_obj_static
tracker_obj_static
is_same_status
sim_velocity
tracker_velocity
velocity_error
sim_heading
tracker_heading
heading_error
sim_velocity_vector,(-0.35_-3.21_0.0),(-2.99_-1.68_-0.0)
tracker_velocity_vector,(-0.48_-3.03_0.0),(-3.25_-1.79_0.0)
velocity_heading_error,2.780000000000001,0.4900000000000091
sim_box_width,2.23,1.93
tracker_box_width,1.83,2.01
box_width_error,0.18,0.04
sim_box_length,4.89,4.6
tracker_box_length,4.62,4.78
box_length_error,0.06,0.04
sim_box_height,1.48,1.85
tracker_box_height,1.52,1.84
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020,vehicle.nissan.patrol
sim_id,1705,1706
tracker_id,5,6
sim_position,(368.64_170.76_-0.0),(373.71_179.76_0.0)
tracker_position,(368.73_171.03_0.76),(373.87_179.67_0.92)
position_error,0.28,0.18
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,3.4,3.27
tracker_velocity,3.03,3.65
velocity_error,0.11,0.12
sim_heading,-1.74,-2.73
tracker_heading,-1.74,-2.72
heading_error,0,0
sim_velocity_vector,(-0.34_-3.38_0.0),(-2.81_-1.66_0.0)
tracker_velocity_vector,(-0.47_-2.99_0.0),(-3.18_-1.78_0.0)
velocity_heading_error,3.190000000000012,1.329999999999984
sim_box_width,2.23,1.93
tracker_box_width,1.85,1.91
box_width_error,0.17,0.01
sim_box_length,4.89,4.6
tracker_box_length,4.52,4.6
box_length_error,0.08,0.0
sim_box_height,1.48,1.85
tracker_box_height,1.52,1.83
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020,vehicle.nissan.patrol
sim_id,1705,1706
tracker_id,6,7
sim_position,(368.6_170.41_-0.01),(373.43_179.6_0.0)
tracker_position,(368.71_170.9_0.76),(373.72_179.59_0.92)
position_error,0.5,0.29
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,3.52,3.22
tracker_velocity,3.0,3.62
velocity_error,0.15,0.12
sim_heading,-1.73,-2.7
tracker_heading,-1.73,-2.71
heading_error,0,0
sim_velocity_vector,(-0.32_-3.51_-0.0),(-2.75_-1.68_0.0)
tracker_velocity_vector,(-0.45_-2.96_0.0),(-3.16_-1.77_0.0)
velocity_heading_error,3.430000000000007,2.1699999999999875
sim_box_width,2.23,1.93
tracker_box_width,1.82,1.9
box_width_error,0.18,0.02
sim_box_length,4.89,4.6
tracker_box_length,4.48,4.46
box_length_error,0.08,0.03
sim_box_height,1.48,1.85
tracker_box_height,1.52,1.83
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020,vehicle.nissan.patrol
sim_id,1705,1706
tracker_id,4,5
sim_position,(368.57_170.07_-0.0),(373.15_179.44_0.0)
tracker_position,(368.66_170.48_0.76),(373.24_179.33_0.91)
position_error,0.42,0.14
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,3.34,3.35
tracker_velocity,2.95,3.62
velocity_error,0.12,0.08
sim_heading,-1.71,-2.68
tracker_heading,-1.71,-2.73
heading_error,0,0
sim_velocity_vector,(-0.28_-3.33_0.0),(-2.84_-1.78_0.0)
tracker_velocity_vector,(-0.39_-2.92_0.0),(-3.17_-1.75_0.0)
velocity_heading_error,2.799999999999997,3.180000000000007
sim_box_width,2.23,1.93
tracker_box_width,1.83,1.82
box_width_error,0.18,0.06
sim_box_length,4.89,4.6
tracker_box_length,4.38,4.57
box_length_error,0.1,0.01
sim_box_height,1.48,1.85
tracker_box_height,1.52,1.83
box_height_error,0,0
Miss_rate,0.0
   
   
